36.20,51.00
36.20,49.00
36.10,48.00
36.10,46.00
36.10,45.00
36.10,43.00
36.10,42.00
36.10,41.00
36.10,40.00
36.10,39.00
36.10,39.00
36.00,38.00
36.00,38.00
36.00,37.00
36.00,37.00
36.00,36.00
36.00,36.00
36.00,36.00
36.00,36.00
